ID_MISSTA,RESOLUTION,ID_MISPHOT,Resolution_scan
1000_ABOU-SIMBEL PANO_P_,,PHOT_0841,722
1000_BAALBECK_P_,,PHOT_0171,722
1000_CAF_A-101_P_5000,5000,CF0A-1011,721
1000_CAF_A-103_P_10500,10500,CF0A-1031,721
1000_CAF_A-128_P_5000,5000,CF0A-1281,721
1000_CAF_A-128_P_8000,8000,CFA-128B1,721
1000_CAF_A-134_P_5000,5000,CF0A-1341,721
1000_CAF_A-232_P_11000,11000,CF0A-2321,721
1000_CAF_A-38BIS_P_100,100,CF-38BIS5,750
1000_CAF_A-38BIS_P_2500,2500,CF-38BIS1,750
1000_CAF_A-40_P_5000,5000,CF00A-401,750
1000_CAF_A-40BIS_P_5000,5000,CF-40BIS1,750
1000_CAF_A-41_P_5000,5000,CF00A-411,750
1000_CAF_A-42_P_5000,5000,CF00A-421,750
1000_CAF_A-46_P_5000,5000,CF00A-461,750
1000_CAF_A-50_P_5000,5000,CF00A-501,750
1000_CAF_A-60_P_5000,5000,CF00A-601,750
1000_CAF_A-60BIS_P_12000,12000,CFA60BIS1,750
1000_CAF_A-61_P_5000,5000,CF00A-611,750
1000_CAF_A-73_P_100,100,CF00A-735,750
1000_CAF_A-73_P_2000,2000,CF00A-731,750
1000_CAF_B-56_P_5000,5000,CF00B-561,721
1000_CAF_B-56_P_9000,9000,CFOB-56B1,721
1000_CAF_C-117_P_5000,5000,CF0C-1171,726
1000_CAF_C-219_P_5000,5000,CF0C-2191,726
1000_CAF_C-220_P_5000,5000,CF0C-2201,726
1000_CAF_C-36_P_5000,5000,CF00C-361,726
1000_CAF_C-40_P_5000,5000,CF00C-401,726
1000_CAF_C-41_P_5000,5000,CF00C-411,726
1000_CAF_C-44_P_5000,5000,CF00C-441,726
1000_CAF_C-45_P_100,100,CF00C-455,719
1000_CAF_C-45_P_9500,9500,CF00C-451,726
1000_CAF_C-46_P_5000,5000,CF00C-461,726
1000_CAF_C-47_P_5000,5000,CF00C-471,726
1000_CAF_C-51_P_5000,5000,CF00C-511,726
1000_CAF_C-55_P_5000,5000,CF00C-551,726
1000_CAF_C-57_P_3000,3000,CF00C-571,726
1000_CAF_C-63_P_9000,9000,CF00C-631,726
1000_CAF_C-65_P_5000,5000,CF00C-651,726
1000_CAF_C-67_P_5000,5000,CF00C-671,726
1000_CAF_C-68_P_5000,5000,CF00C-681,726
1000_CAF_C-74_P_10000,10000,CF00C-741,726
1000_CAF_C-81_P_5000,5000,CF00C-811,719
1000_CAF_D-1_P_5000,5000,CF000D-11,726
1000_CAF_D-103_P_10000,10000,CFD-103B1,726
1000_CAF_D-103_P_5000,5000,CF0D-1031,726
1000_CAF_D-104_P_10000,10000,CF0D-1041,726
1000_CAF_D-105_P_11000,11000,CF0D-1051,726
1000_CAF_D-106_P_5000,5000,CF0D-1061,726
1000_CAF_D-107_P_10000,10000,CF0D-1071,726
1000_CAF_D-130_P_5000,5000,CF0D-1301,726
1000_CAF_D-132_P_5000,5000,CF0D-1321,726
1000_CAF_D-133_P_3000,3000,CF0D-1331,750
1000_CAF_D-134_P_10000,10000,CFD-134B1,750
1000_CAF_D-134_P_3000,3000,CF0D-1341,750
1000_CAF_D-135_P_10000,10000,CFD-135B1,750
1000_CAF_D-135_P_5000,5000,CF0D-1351,750
1000_CAF_D-149_P_5000,5000,CF0D-1491,750
1000_CAF_D-150_P_3000,3000,CF0D-1501,750
